hand,won,played
22,197,633
33,203,614
44,217,619
55,221,651
66,245,656
77,232,659
88,254,627
99,265,610
TT,289,618
JJ,326,627
QQ,348,626
KK,389,655
AA,428,658
32s,92,411
42s,103,425
52s,116,465
62s,95,407
72s,106,423
82s,107,443
92s,96,414
T2s,119,410
J2s,126,441
Q2s,141,413
K2s,144,422
A2s,150,424
43s,111,434
53s,90,388
63s,114,428
73s,114,441
83s,104,456
93s,92,410
T3s,115,443
J3s,123,437
Q3s,140,456
K3s,135,402
A3s,147,409
54s,96,407
64s,106,419
74s,124,440
84s,107,392
94s,116,379
T4s,127,398
J4s,117,393
Q4s,113,416
K4s,134,406
A4s,158,449
65s,131,409
75s,121,439
85s,128,425
95s,128,447
T5s,127,442
J5s,142,463
Q5s,133,381
K5s,140,424
A5s,151,408
76s,131,424
86s,129,422
96s,137,499
T6s,117,392
J6s,140,449
Q6s,128,406
K6s,150,426
A6s,172,443
87s,116,382
97s,139,453
T7s,137,413
J7s,124,387
Q7s,140,407
K7s,146,434
A7s,138,417
98s,137,413
T8s,127,418
J8s,162,429
Q8s,148,388
K8s,145,406
A8s,149,417
T9s,153,409
J9s,128,389
Q9s,140,387
K9s,153,439
A9s,180,443
JTs,179,438
QTs,185,434
KTs,166,428
ATs,187,432
QJs,173,437
KJs,183,439
AJs,186,410
KQs,192,422
AQs,206,441
AKs,182,425
32o,252,1243
42o,241,1312
52o,274,1303
62o,249,1250
72o,255,1239
82o,253,1253
92o,246,1226
T2o,307,1242
J2o,325,1299
Q2o,336,1348
K2o,366,1302
A2o,403,1312
43o,254,1263
53o,265,1269
63o,247,1193
73o,239,1220
83o,258,1261
93o,315,1298
T3o,288,1279
J3o,327,1285
Q3o,338,1248
K3o,342,1257
A3o,386,1223
54o,282,1219
64o,288,1287
74o,299,1292
84o,273,1257
94o,287,1277
T4o,324,1368
J4o,319,1258
Q4o,367,1307
K4o,367,1236
A4o,461,1313
65o,316,1222
75o,306,1265
85o,341,1322
95o,323,1333
T5o,328,1272
J5o,325,1298
Q5o,354,1270
K5o,362,1182
A5o,380,1248
76o,288,1176
86o,293,1244
96o,348,1295
T6o,302,1260
J6o,356,1258
Q6o,365,1312
K6o,366,1208
A6o,413,1267
87o,390,1290
97o,325,1252
T7o,345,1242
J7o,363,1257
Q7o,335,1227
K7o,389,1277
A7o,420,1254
98o,381,1302
T8o,379,1271
J8o,385,1261
Q8o,355,1279
K8o,423,1282
A8o,433,1226
T9o,410,1229
J9o,449,1284
Q9o,401,1261
K9o,449,1274
A9o,492,1284
JTo,465,1323
QTo,484,1293
KTo,453,1244
ATo,485,1296
QJo,426,1223
KJo,506,1275
AJo,489,1241
KQo,446,1257
AQo,486,1240
AKo,509,1295
