hand,won,played
22,45,87
33,51,93
44,45,87
55,53,100
66,68,103
77,55,84
88,54,80
99,59,87
TT,61,80
JJ,74,94
QQ,69,86
KK,70,88
AA,90,103
32s,19,59
42s,27,57
52s,28,69
62s,24,60
72s,36,75
82s,25,61
92s,25,56
T2s,32,67
J2s,30,63
Q2s,36,60
K2s,38,59
A2s,39,60
43s,35,63
53s,23,54
63s,36,65
73s,29,76
83s,21,56
93s,21,48
T3s,30,58
J3s,31,62
Q3s,39,68
K3s,36,60
A3s,39,61
54s,19,51
64s,30,61
74s,26,69
84s,15,49
94s,29,52
T4s,34,64
J4s,25,52
Q4s,24,57
K4s,39,63
A4s,37,68
65s,31,58
75s,29,67
85s,31,61
95s,28,63
T5s,31,64
J5s,32,59
Q5s,30,51
K5s,31,59
A5s,37,75
76s,32,55
86s,31,62
96s,31,72
T6s,26,50
J6s,42,72
Q6s,35,53
K6s,33,53
A6s,36,62
87s,29,56
97s,36,66
T7s,29,54
J7s,31,62
Q7s,28,49
K7s,32,68
A7s,30,49
98s,30,53
T8s,23,52
J8s,45,71
Q8s,27,57
K8s,29,54
A8s,40,61
T9s,30,50
J9s,23,45
Q9s,39,57
K9s,43,66
A9s,49,74
JTs,36,57
QTs,39,70
KTs,37,56
ATs,48,69
QJs,36,54
KJs,33,56
AJs,30,51
KQs,37,53
AQs,43,64
AKs,44,68
32o,68,195
42o,55,162
52o,72,202
62o,65,186
72o,78,184
82o,73,175
92o,63,161
T2o,85,182
J2o,98,203
Q2o,108,206
K2o,92,186
A2o,102,186
43o,72,192
53o,80,191
63o,63,189
73o,63,170
83o,86,184
93o,78,168
T3o,71,184
J3o,93,173
Q3o,94,181
K3o,93,191
A3o,105,180
54o,71,179
64o,70,179
74o,81,184
84o,64,175
94o,82,169
T4o,73,178
J4o,75,161
Q4o,81,167
K4o,85,176
A4o,110,190
65o,71,174
75o,76,167
85o,83,193
95o,76,172
T5o,88,176
J5o,93,193
Q5o,79,175
K5o,97,172
A5o,96,166
76o,72,181
86o,89,191
96o,97,177
T6o,73,170
J6o,81,171
Q6o,102,196
K6o,91,166
A6o,95,169
87o,79,184
97o,84,187
T7o,70,151
J7o,89,169
Q7o,85,184
K7o,95,179
A7o,103,171
98o,90,172
T8o,91,178
J8o,110,206
Q8o,87,179
K8o,111,185
A8o,101,158
T9o,96,173
J9o,106,195
Q9o,108,192
K9o,104,186
A9o,125,212
JTo,108,191
QTo,128,200
KTo,104,183
ATo,108,186
QJo,109,188
KJo,146,210
AJo,119,195
KQo,104,179
AQo,110,164
AKo,123,192
