hand,won,played
22,241,897
33,253,879
44,276,882
55,271,920
66,300,933
77,287,934
88,339,911
99,328,879
TT,369,913
JJ,409,869
QQ,447,877
KK,499,941
AA,591,957
32s,118,586
42s,129,608
52s,144,637
62s,122,595
72s,123,582
82s,129,616
92s,115,572
T2s,143,583
J2s,168,614
Q2s,178,598
K2s,181,598
A2s,186,591
43s,137,636
53s,122,572
63s,142,608
73s,140,622
83s,127,622
93s,133,613
T3s,142,608
J3s,161,636
Q3s,174,628
K3s,164,563
A3s,188,569
54s,128,605
64s,129,584
74s,155,621
84s,149,559
94s,143,565
T4s,151,582
J4s,152,567
Q4s,139,588
K4s,171,571
A4s,198,611
65s,160,581
75s,156,615
85s,168,610
95s,156,646
T5s,155,597
J5s,183,637
Q5s,163,555
K5s,180,596
A5s,193,583
76s,156,578
86s,155,587
96s,176,689
T6s,153,583
J6s,173,627
Q6s,163,573
K6s,185,604
A6s,214,631
87s,148,545
97s,179,614
T7s,169,578
J7s,157,582
Q7s,177,569
K7s,198,603
A7s,179,614
98s,176,599
T8s,184,626
J8s,208,628
Q8s,191,568
K8s,188,579
A8s,205,586
T9s,193,604
J9s,169,565
Q9s,180,555
K9s,187,610
A9s,222,604
JTs,233,642
QTs,229,611
KTs,220,602
ATs,236,614
QJs,220,617
KJs,224,601
AJs,249,607
KQs,253,620
AQs,267,639
AKs,231,618
32o,306,1787
42o,306,1902
52o,340,1858
62o,309,1803
72o,322,1803
82o,316,1853
92o,327,1786
T2o,371,1777
J2o,405,1908
Q2o,417,1895
K2o,467,1875
A2o,499,1851
43o,322,1831
53o,366,1834
63o,323,1745
73o,296,1782
83o,327,1804
93o,361,1836
T3o,349,1827
J3o,407,1826
Q3o,429,1828
K3o,438,1819
A3o,504,1810
54o,368,1787
64o,361,1848
74o,379,1877
84o,337,1792
94o,335,1836
T4o,408,1913
J4o,388,1819
Q4o,435,1843
K4o,451,1774
A4o,566,1865
65o,394,1789
75o,372,1835
85o,411,1840
95o,388,1857
T5o,413,1794
J5o,407,1877
Q5o,435,1778
K5o,448,1705
A5o,491,1759
76o,362,1704
86o,392,1830
96o,404,1823
T6o,367,1779
J6o,457,1862
Q6o,455,1860
K6o,472,1785
A6o,527,1824
87o,476,1808
97o,414,1821
T7o,419,1823
J7o,450,1803
Q7o,437,1784
K7o,481,1789
A7o,509,1762
98o,455,1794
T8o,463,1789
J8o,489,1788
Q8o,448,1803
K8o,525,1853
A8o,560,1784
T9o,515,1745
J9o,563,1822
Q9o,491,1812
K9o,558,1806
A9o,593,1786
JTo,569,1853
QTo,608,1846
KTo,574,1768
ATo,589,1783
QJo,541,1736
KJo,647,1797
AJo,596,1745
KQo,582,1804
AQo,631,1785
AKo,658,1822
