hand,won,played
22,289,1203
33,299,1181
44,324,1193
55,332,1235
66,362,1255
77,333,1215
88,417,1222
99,415,1199
TT,444,1235
JJ,501,1185
QQ,548,1191
KK,589,1251
AA,735,1281
32s,139,786
42s,170,868
52s,172,855
62s,147,795
72s,145,797
82s,148,824
92s,141,778
T2s,184,823
J2s,201,819
Q2s,215,830
K2s,215,806
A2s,228,798
43s,171,880
53s,166,814
63s,182,834
73s,163,841
83s,149,837
93s,158,806
T3s,167,825
J3s,187,832
Q3s,202,860
K3s,202,779
A3s,225,805
54s,170,804
64s,170,801
74s,194,830
84s,178,780
94s,166,742
T4s,186,805
J4s,175,740
Q4s,185,780
K4s,205,774
A4s,236,813
65s,191,786
75s,193,827
85s,200,843
95s,201,889
T5s,189,816
J5s,222,840
Q5s,199,777
K5s,214,784
A5s,242,807
76s,195,784
86s,183,789
96s,214,873
T6s,191,808
J6s,210,841
Q6s,206,782
K6s,229,808
A6s,265,834
87s,187,760
97s,216,816
T7s,214,772
J7s,191,812
Q7s,215,747
K7s,243,801
A7s,230,850
98s,213,801
T8s,223,851
J8s,250,830
Q8s,234,773
K8s,233,804
A8s,237,771
T9s,243,819
J9s,213,785
Q9s,233,789
K9s,231,830
A9s,284,842
JTs,279,854
QTs,268,821
KTs,264,794
ATs,281,795
QJs,254,818
KJs,265,800
AJs,310,812
KQs,301,832
AQs,339,863
AKs,285,821
32o,361,2405
42o,381,2574
52o,414,2485
62o,373,2458
72o,369,2386
82o,351,2458
92o,375,2388
T2o,443,2421
J2o,472,2567
Q2o,507,2552
K2o,549,2502
A2o,620,2475
43o,391,2468
53o,445,2476
63o,391,2373
73o,358,2407
83o,375,2449
93o,416,2433
T3o,408,2465
J3o,472,2464
Q3o,511,2465
K3o,520,2449
A3o,601,2393
54o,454,2440
64o,434,2479
74o,446,2550
84o,412,2442
94o,409,2496
T4o,482,2531
J4o,471,2465
Q4o,519,2486
K4o,533,2430
A4o,684,2487
65o,457,2390
75o,442,2444
85o,494,2480
95o,451,2476
T5o,483,2424
J5o,492,2517
Q5o,523,2397
K5o,533,2342
A5o,607,2418
76o,439,2347
86o,477,2452
96o,482,2469
T6o,445,2410
J6o,526,2438
Q6o,543,2520
K6o,541,2386
A6o,628,2426
87o,568,2474
97o,518,2470
T7o,504,2435
J7o,521,2433
Q7o,519,2439
K7o,586,2441
A7o,612,2409
98o,548,2409
T8o,567,2408
J8o,573,2382
Q8o,538,2430
K8o,616,2484
A8o,680,2425
T9o,620,2349
J9o,674,2512
Q9o,594,2394
K9o,659,2458
A9o,715,2453
JTo,674,2482
QTo,748,2534
KTo,698,2400
ATo,728,2423
QJo,660,2405
KJo,772,2425
AJo,740,2370
KQo,719,2456
AQo,781,2434
AKo,815,2453
