hand,won,played
22,147,418
33,153,400
44,172,416
55,171,430
66,201,450
77,173,423
88,186,393
99,198,395
TT,207,379
JJ,244,402
QQ,261,433
KK,280,419
AA,304,430
32s,78,287
42s,77,262
52s,93,304
62s,78,259
72s,80,267
82s,89,303
92s,77,254
T2s,92,270
J2s,88,277
Q2s,106,262
K2s,115,269
A2s,109,262
43s,83,277
53s,61,253
63s,87,277
73s,89,313
83s,81,300
93s,74,248
T3s,89,290
J3s,94,289
Q3s,104,292
K3s,97,258
A3s,105,259
54s,65,255
64s,75,259
74s,94,281
84s,75,250
94s,82,237
T4s,96,263
J4s,90,262
Q4s,87,268
K4s,96,255
A4s,109,284
65s,95,257
75s,81,283
85s,91,272
95s,87,281
T5s,98,289
J5s,102,286
Q5s,99,254
K5s,101,267
A5s,115,268
76s,100,276
86s,102,287
96s,105,320
T6s,87,255
J6s,105,280
Q6s,99,244
K6s,109,253
A6s,121,294
87s,90,254
97s,103,285
T7s,97,263
J7s,94,247
Q7s,106,281
K7s,107,272
A7s,98,260
98s,100,255
T8s,88,270
J8s,136,289
Q8s,106,247
K8s,107,264
A8s,111,254
T9s,119,274
J9s,94,253
Q9s,107,257
K9s,106,277
A9s,136,295
JTs,107,263
QTs,134,287
KTs,129,284
ATs,127,273
QJs,122,285
KJs,120,272
AJs,145,274
KQs,140,272
AQs,148,287
AKs,117,267
32o,197,803
42o,174,823
52o,207,842
62o,192,838
72o,190,818
82o,195,784
92o,193,762
T2o,237,791
J2o,253,827
Q2o,254,843
K2o,283,854
A2o,304,859
43o,181,792
53o,201,814
63o,195,786
73o,178,768
83o,206,801
93o,248,841
T3o,209,785
J3o,255,823
Q3o,264,812
K3o,262,791
A3o,278,763
54o,204,802
64o,198,804
74o,228,826
84o,198,790
94o,225,825
T4o,246,880
J4o,240,799
Q4o,282,864
K4o,262,784
A4o,331,857
65o,233,774
75o,228,824
85o,257,861
95o,251,866
T5o,251,825
J5o,240,823
Q5o,252,798
K5o,268,757
A5o,289,790
76o,213,743
86o,236,840
96o,271,821
T6o,238,816
J6o,268,826
Q6o,281,843
K6o,263,768
A6o,293,777
87o,281,822
97o,250,808
T7o,260,784
J7o,274,805
Q7o,244,751
K7o,311,819
A7o,325,829
98o,287,815
T8o,273,809
J8o,289,825
Q8o,265,780
K8o,339,841
A8o,312,776
T9o,305,821
J9o,338,825
Q9o,295,792
K9o,345,873
A9o,368,825
JTo,335,828
QTo,345,828
KTo,325,802
ATo,344,838
QJo,309,808
KJo,388,848
AJo,367,829
KQo,334,826
AQo,335,795
AKo,369,834
